taxon,aphia_ID,scientific_name,rank,class,kingdom,phylum,subphylum,genus,worms,rank_combined
Biddulphia sinensis,148969,Biddulphia sinensis,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Biddulphia,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Biddulphianae/Biddulphiales/Biddulphiaceae/Biddulphia/Biddulphia sinensis,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Campylodiscus,149616,Campylodiscus,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Campylodiscus,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Bacillariophycidae/Bacillariophycanae/Surirellales/Surirellaceae/Campylodiscus,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Centrales,341285,Centrales,Order,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,NA,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Centrales,Kingdom/Phylum/Subphylum/Class/Order
Cerataulina,149236,Cerataulina,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Cerataulina,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Biddulphianae/Hemiaulales/Hemiaulaceae/Cerataulina,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Cerataulina dentata,465385,Cerataulina dentata,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Cerataulina,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Biddulphianae/Hemiaulales/Hemiaulaceae/Cerataulina/Cerataulina dentata,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Cerataulina pelagica,149619,Cerataulina pelagica,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Cerataulina,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Biddulphianae/Hemiaulales/Hemiaulaceae/Cerataulina/Cerataulina pelagica,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Ceratoneis closterium,163932,Ceratoneis closterium,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Ceratoneis,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Fragilariophycidae/Fragilariophycanae/Fragilariales/Fragilariaceae/Ceratoneis/Ceratoneis closterium,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Chaetoceros,148985,Chaetoceros,Genus,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Chaetoceros,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Chaetocerotanae/Chaetocerotanae incertae sedis/Chaetocerotaceae/Chaetoceros,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus
Chaetoceros affinis,149241,Chaetoceros affinis,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Chaetoceros,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Chaetocerotanae/Chaetocerotanae incertae sedis/Chaetocerotaceae/Chaetoceros/Chaetoceros affinis,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
Chaetoceros compressus,149129,Chaetoceros compressus,Species,Bacillariophyceae,Chromista,Heterokontophyta,Bacillariophytina,Chaetoceros,Chromista/Heterokontophyta/Bacillariophytina/Bacillariophyceae/Coscinodiscophycidae/Chaetocerotanae/Chaetocerotanae incertae sedis/Chaetocerotaceae/Chaetoceros/Chaetoceros compressus,Kingdom/Phylum/Subphylum/Class/Subclass/Superorder/Order/Family/Genus/Species
