"ZM","ZM_Libelle","ZM_text","Facade","Code Facade","Region","Code Region"
65,"065 - Estuaire de la Vilaine","Estuaire de la Vilaine","Atlantique",2,"Pays de la Loire - Pertuis",22
79,"079 - Pertuis d'Antioche","Pertuis d Antioche","Atlantique",2,"Pays de la Loire - Pertuis",22
6,"006 - Baie de Somme - large","Baie de Somme - large","Manche - Mer du Nord",1,"Manche orientale - Mer du Nord",11
145,"145 - Mayotte","Mayotte","Indien",5,"Mayotte",52
67,"067 - Traict de Pen Bé","Traict de Pen Be","Atlantique",2,"Pays de la Loire - Pertuis",22
37,"037 - Ouessant - Abers","Ouessant - Abers","Atlantique",2,"Bretagne Sud",21
18,"018 - Cotentin Ouest","Cotentin Ouest","Manche - Mer du Nord",1,"Manche occidentale",13
101,"101 - Etang de Gruissan et Etang du Grazel","Etangs gruissanais","Mediterranee",3,"Golfe du Lion",31
91,"091 - Côte basque","Cote basque","Atlantique",2,"Sud Golfe de Gascogne",23
17,"017 - La Hague - Carteret","La Hague - Carteret","Manche - Mer du Nord",1,"Manche occidentale",13
76,"076 - Pertuis Breton","Pertuis Breton","Atlantique",2,"Pays de la Loire - Pertuis",22
35,"035 - Penzé","Penze","Manche - Mer du Nord",1,"Manche occidentale",13
54,"054 - Belle-Ile - Houat - Hoëdic","Belle-Ile - Houat - Hoedic","Atlantique",2,"Bretagne Sud",21
19,"019 - Archipel Chausey","Archipel Chausey","Manche - Mer du Nord",1,"Manche occidentale",13
126,"126 - Réunion","Reunion","Indien",5,"R�union",51
80,"080 - Marennes Oléron","Marennes Oleron","Atlantique",2,"Pays de la Loire - Pertuis",22
33,"033 - Baie de Morlaix - large","Baie de Morlaix","Manche - Mer du Nord",1,"Manche occidentale",13
