TAXON;aphiaID;Kingdom;Phylum;Subphylum;Superclass;Class;Infraclass;Superorder;Order;Family;Genus;Species;Subclass;Suborder;Subfamily;Tribe;Subgenus;Infraphylum;Parvphylum;Gigaclass;Infraorder;Superfamily;Parvorder;Subterclass;Section;Subsection;rank
Amphipoda;1135;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;NA;NA;NA;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Cumacea;1137;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Cumacea;NA;NA;NA;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Gammaridea;1207;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;NA;NA;NA;Eumalacostraca;Gammaridea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Suborder
Ctenophora;1248;Animalia;Ctenophora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Cnidaria;1267;Animalia;Cnidaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Hydrozoa;1337;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Echinodermata;1806;Animalia;Echinodermata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Ascidiacea;1839;Animalia;Chordata;Tunicata;NA;Ascidiacea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Chaetognatha;2081;Animalia;Chaetognatha;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phylum
Actinopterygii;10194;Animalia;Chordata;Vertebrata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Gigaclass
Anthoathecata;13551;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;NA;NA;NA;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Leptothecata;13552;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;NA;NA;NA;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Hydroidolina;19494;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;NA;NA;NA;NA;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Caprellidae;101361;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Caprellidae;NA;NA;Eumalacostraca;Senticaudata;NA;NA;NA;NA;NA;NA;Corophiida;Caprelloidea;Caprellidira;NA;NA;NA;Family
Corophium;101489;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Corophiidae;Corophium;NA;Eumalacostraca;Senticaudata;Corophiinae;Corophiini;NA;NA;NA;NA;Corophiida;Corophioidea;Corophiidira;NA;NA;NA;Genus
Atylus;101497;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Atylidae;Atylus;NA;Eumalacostraca;Amphilochidea;Atylinae;NA;NA;NA;NA;NA;Lysianassida;Dexaminoidea;Synopiidira;NA;NA;NA;Genus
Ischyrocerus;101569;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Ischyroceridae;Ischyrocerus;NA;Eumalacostraca;Senticaudata;Ischyrocerinae;Ischyrocerini;NA;NA;NA;NA;Corophiida;Photoidea;Caprellidira;NA;NA;NA;Genus
Bathyporeia;101742;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Bathyporeiidae;Bathyporeia;NA;Eumalacostraca;Senticaudata;NA;NA;NA;NA;NA;NA;Gammarida;Gammaroidea;Gammaridira;NA;NA;NA;Genus
Nototropis falcatus;102139;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Atylidae;Nototropis;Nototropis falcatus;Eumalacostraca;Amphilochidea;Nototropiinae;NA;NA;NA;NA;NA;Lysianassida;Dexaminoidea;Synopiidira;NA;NA;NA;Species
Ischyrocerus anguipes;102412;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Amphipoda;Ischyroceridae;Ischyrocerus;Ischyrocerus anguipes;Eumalacostraca;Senticaudata;Ischyrocerinae;Ischyrocerini;NA;NA;NA;NA;Corophiida;Photoidea;Caprellidira;NA;NA;NA;Species
Fritillaria borealis;103375;Animalia;Chordata;Tunicata;NA;Appendicularia;NA;NA;Copelata;Fritillariidae;Fritillaria;Fritillaria borealis;NA;NA;Fritillariinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Fritillaria pellucida;103386;Animalia;Chordata;Tunicata;NA;Appendicularia;NA;NA;Copelata;Fritillariidae;Fritillaria;Fritillaria pellucida;NA;NA;Fritillariinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oikopleura (Vexillaria) dioica;103407;Animalia;Chordata;Tunicata;NA;Appendicularia;NA;NA;Copelata;Oikopleuridae;Oikopleura;Oikopleura (Vexillaria) dioica;NA;NA;Oikopleurinae;Labiata;Oikopleura (Vexillaria);NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Clausocalanidae;104082;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Clausocalanidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Acartia;104108;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Acartiidae;Acartia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Calanus;104152;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Calanidae;Calanus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Centropages;104159;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Centropagidae;Centropages;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Pseudocalanus;104165;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Clausocalanidae;Pseudocalanus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Paracalanus;104196;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Paracalanidae;Paracalanus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Labidocera;104208;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Pontellidae;Labidocera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Stephos;104239;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Stephidae;Stephos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Temora;104241;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Temoridae;Temora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Acartia (Acartiura) clausi;104251;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Acartiidae;Acartia;Acartia clausi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Acartia (Acartiura) discaudata;104253;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Acartiidae;Acartia;Acartia discaudata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
