aphiaID;TAXON;Kingdom;Subkingdom;Infrakingdom;Phylum;Subphylum;Infraphylum;Class;Subclass;Order;Family;Genus;Species;Superorder;Phylum (Division);Subfamily;Subphylum (Subdivision);Superclass;Forma;Suborder;Variety;rank
149095;Odontella sinensis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Triceratiales;Triceratiaceae;Odontella;Odontella sinensis;Biddulphianae;NA;NA;NA;NA;NA;NA;NA;Species
149099;Thalassiosira antarctica;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira antarctica;Thalassiosiranae;NA;NA;NA;NA;NA;NA;NA;Species
149101;Thalassiosira subtilis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira subtilis;Thalassiosiranae;NA;NA;NA;NA;NA;NA;NA;Species
149102;Thalassiosira gravida;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira gravida;Thalassiosiranae;NA;NA;NA;NA;NA;NA;NA;Species
149106;Leptocylindrus danicus;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus danicus;Chaetocerotanae;NA;NA;NA;NA;NA;NA;NA;Species
149109;Corethron;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Corethrales;Corethraceae;Corethron;NA;Corethranae;NA;NA;NA;NA;NA;NA;NA;Genus
149111;Guinardia;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;NA;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Genus
149112;Guinardia delicatula;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia delicatula;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149113;Guinardia striata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia striata;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149115;Rhizosolenia setigera;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia setigera;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149116;Rhizosolenia imbricata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;Rhizosolenia imbricata;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149118;Bacteriastrum;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Bacteriastrum;NA;Chaetocerotanae;NA;NA;NA;NA;NA;NA;NA;Genus
