TAXON;aphiaID;Kingdom;Phylum;Subphylum;Class;Subclass;Superorder;Order;Family;Genus;Subkingdom;Infrakingdom;Species;Infraphylum;Subfamily;Superclass;Suborder;Phylum (Division);Subgenus;Subphylum (Subdivision);Variety;Forma;Infraclass;Subterclass;Superfamily;rank
Oxytoxum caudatum;110082;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum caudatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum coronatum;110086;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum coronatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum crassum;110087;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum crassum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum curvatum;110090;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum curvatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum elongatum;233859;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum elongatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum gracile;233870;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum gracile;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum laticeps;110097;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum laticeps;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum longiceps;110099;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum longiceps;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum longum;110100;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum longum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum mediterraneum;110102;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum mediterraneum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum pachyderme;233873;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Oxytoxum parvum;110109;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum parvum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum sceptrum;110114;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum sceptrum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum schauinslandii;838240;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum schauinslandii;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum scolopax;110115;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum scolopax;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum tesselatum;233874;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum tesselatum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum turbo;233871;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum turbo;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum variabile;233868;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum variabile;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Oxytoxum viride;110122;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Oxytoxaceae;Oxytoxum;Harosa;Alveolata;Oxytoxum viride;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Pachysphaera;160594;Plantae;NA;NA;Chlorodendrophyceae;NA;NA;Chlorodendrales;Halosphaeraceae;Pachysphaera;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;NA;Genus
