"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","VFLAG","ALABO","METOA","METFP","SLABO","SMTYP","MPROG","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE"
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,106386,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,5.446623094
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,106673,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,6.535947712
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,116162,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,13.071895425
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,117034,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,2.178649237
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,123200,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,19.607843137
"BAMN","AA31","1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee","19980420",00:00:00,,"5198745",,,2,5,131495,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,52.287581699
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,105,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,11.534025375
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,882,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,46.136101499
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,913,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,46.136101499
"BAMN","AA31","1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee","19980518",00:00:00,,"5198762",,,2,5,1082,,,"ABUNDNR","nr/m3","S",,,,,,"CEMP~NATL","T~S","1998","ZP","ERID",,,,34.602076125
